,id,publication_year,cited_by_count,author_ids
80,https://openalex.org/W2161489197,2008.0,76.0,"['https://openalex.org/A5077079119', 'https://openalex.org/A5011455884', 'https://openalex.org/A5056106335']"
81,https://openalex.org/W2121403596,2011.0,69.0,"['https://openalex.org/A5077079119', 'https://openalex.org/A5071093940']"
82,https://openalex.org/W2043632556,2013.0,68.0,"['https://openalex.org/A5013844832', 'https://openalex.org/A5084759791', 'https://openalex.org/A5077079119']"
83,https://openalex.org/W2971184120,2019.0,47.0,"['https://openalex.org/A5048204767', 'https://openalex.org/A5006661033', 'https://openalex.org/A5077079119', 'https://openalex.org/A5014018142']"
84,https://openalex.org/W2970894611,2019.0,43.0,"['https://openalex.org/A5039815972', 'https://openalex.org/A5012971694', 'https://openalex.org/A5083477814', 'https://openalex.org/A5077079119', 'https://openalex.org/A5064230639', 'https://openalex.org/A5049349154', 'https://openalex.org/A5005997281']"
85,https://openalex.org/W3133873474,2021.0,35.0,"['https://openalex.org/A5017013518', 'https://openalex.org/A5077079119']"
86,https://openalex.org/W4288368497,2022.0,26.0,"['https://openalex.org/A5078519295', 'https://openalex.org/A5047918106', 'https://openalex.org/A5001928585', 'https://openalex.org/A5065697534', 'https://openalex.org/A5067264638', 'https://openalex.org/A5070059815', 'https://openalex.org/A5077079119', 'https://openalex.org/A5041689299', 'https://openalex.org/A5056266198']"
87,https://openalex.org/W1587900512,2004.0,88.0,"['https://openalex.org/A5080087902', 'https://openalex.org/A5077079119', 'https://openalex.org/A5071093940']"
88,https://openalex.org/W2119203777,2002.0,84.0,"['https://openalex.org/A5071093940', 'https://openalex.org/A5077079119']"
89,https://openalex.org/W2163651366,2009.0,69.0,"['https://openalex.org/A5017914184', 'https://openalex.org/A5077079119', 'https://openalex.org/A5056106335']"
90,https://openalex.org/W2267032039,2015.0,47.0,"['https://openalex.org/A5074597914', 'https://openalex.org/A5064577132', 'https://openalex.org/A5078821451', 'https://openalex.org/A5077079119', 'https://openalex.org/A5062253481']"
91,https://openalex.org/W4293773999,2017.0,44.0,"['https://openalex.org/A5085643937', 'https://openalex.org/A5077079119']"
92,https://openalex.org/W2133319580,2014.0,42.0,"['https://openalex.org/A5036780061', 'https://openalex.org/A5058696551', 'https://openalex.org/A5034507822', 'https://openalex.org/A5007305440', 'https://openalex.org/A5009750886', 'https://openalex.org/A5077079119']"
93,https://openalex.org/W2963444224,2019.0,37.0,"['https://openalex.org/A5113968865', 'https://openalex.org/A5100727390', 'https://openalex.org/A5026322200', 'https://openalex.org/A5077079119']"
94,https://openalex.org/W3138681670,2021.0,29.0,"['https://openalex.org/A5000031081', 'https://openalex.org/A5021757437', 'https://openalex.org/A5069454833', 'https://openalex.org/A5077079119']"
95,https://openalex.org/W3213657171,2021.0,27.0,"['https://openalex.org/A5083477814', 'https://openalex.org/A5077079119']"
96,https://openalex.org/W2144597083,2012.0,42.0,"['https://openalex.org/A5081871525', 'https://openalex.org/A5010626848', 'https://openalex.org/A5077079119']"
97,https://openalex.org/W2613139532,2017.0,36.0,"['https://openalex.org/A5036780061', 'https://openalex.org/A5077079119', 'https://openalex.org/A5069346030', 'https://openalex.org/A5001961716']"
98,https://openalex.org/W2299041126,2015.0,35.0,"['https://openalex.org/A5034507822', 'https://openalex.org/A5014708680', 'https://openalex.org/A5077079119', 'https://openalex.org/A5111936382']"
99,https://openalex.org/W2969481347,2019.0,31.0,"['https://openalex.org/A5036780061', 'https://openalex.org/A5001351453', 'https://openalex.org/A5086558424', 'https://openalex.org/A5077079119']"
100,https://openalex.org/W3200005047,2021.0,25.0,"['https://openalex.org/A5070509173', 'https://openalex.org/A5036780061', 'https://openalex.org/A5077079119']"
101,https://openalex.org/W2405817101,2015.0,33.0,"['https://openalex.org/A5036780061', 'https://openalex.org/A5077079119']"
102,https://openalex.org/W1975400356,2013.0,32.0,"['https://openalex.org/A5069476228', 'https://openalex.org/A5077079119']"
103,https://openalex.org/W2162884436,2014.0,32.0,"['https://openalex.org/A5038687622', 'https://openalex.org/A5007495056', 'https://openalex.org/A5077079119']"
104,https://openalex.org/W3176309110,2021.0,21.0,"['https://openalex.org/A5083919055', 'https://openalex.org/A5083477814', 'https://openalex.org/A5058570755', 'https://openalex.org/A5077079119']"
106,https://openalex.org/W2103045022,2002.0,53.0,"['https://openalex.org/A5021339534', 'https://openalex.org/A5077079119', 'https://openalex.org/A5071093940']"
107,https://openalex.org/W2105889829,2007.0,39.0,"['https://openalex.org/A5025964235', 'https://openalex.org/A5077079119']"
108,https://openalex.org/W2044069304,2014.0,26.0,"['https://openalex.org/A5060618768', 'https://openalex.org/A5077079119']"
109,https://openalex.org/W2140651898,2014.0,25.0,"['https://openalex.org/A5081038789', 'https://openalex.org/A5077079119', 'https://openalex.org/A5055506349', 'https://openalex.org/A5056106335']"
110,https://openalex.org/W2587173188,2004.0,42.0,"['https://openalex.org/A5077079119', 'https://openalex.org/A5085025927', 'https://openalex.org/A5071093940']"
111,https://openalex.org/W2034054255,2011.0,28.0,"['https://openalex.org/A5052048365', 'https://openalex.org/A5077079119']"
112,https://openalex.org/W4255307971,2017.0,22.0,"['https://openalex.org/A5036780061', 'https://openalex.org/A5071496598', 'https://openalex.org/A5025550714', 'https://openalex.org/A5077079119']"
113,https://openalex.org/W3161205566,2021.0,17.0,"['https://openalex.org/A5019568596', 'https://openalex.org/A5030706487', 'https://openalex.org/A5009764942', 'https://openalex.org/A5006206163', 'https://openalex.org/A5086558424', 'https://openalex.org/A5036780061', 'https://openalex.org/A5077079119']"
114,https://openalex.org/W4309697951,2022.0,11.0,"['https://openalex.org/A5064296964', 'https://openalex.org/A5077079119', 'https://openalex.org/A5069454833', 'https://openalex.org/A5069999998', 'https://openalex.org/A5076633756', 'https://openalex.org/A5000679279']"
116,https://openalex.org/W2002679877,2006.0,33.0,['https://openalex.org/A5077079119']
